Index,Xg,Yg,Zg
A18,-12.3794,51.235,-300.0001
A19,0,51.292,-300.3342
A20,12.3782,51.23,-299.9721
A21,24.6672,51.069,-299.3628
B16,36.8929,50.779,-297.9985
B17,40.9456,39.241,-299.3561
B18,44.894,27.602,-299.95
B19,48.7668,15.846,-300.2454
B20,52.5513,4.06,-299.9939
B21,56.1861,-7.678,-299.3334
C16,59.7041,-19.398,-298.05
C17,49.9584,-26.808,-299.2734
C18,40.1322,-34.175,-300.0167
C19,30.1389,-41.482,-300.2392
C20,20.0992,-48.724,-299.993
C21,10.0601,-55.808,-299.3323
D16,0,-62.777,-298.0539
D17,-10.0602,-55.809,-299.3356
D18,-20.1005,-48.727,-300.0115
D19,-30.1436,-41.489,-300.2864
D20,-40.1339,-34.176,-300.029
D21,-49.9548,-26.806,-299.2504
E16,-59.7036,-19.398,-298.0474
E17,-56.1719,-7.676,-299.2576
E18,-52.5583,4.06,-300.0344
E19,-48.7768,15.849,-300.3068
E20,-44.9036,27.608,-300.0145
E21,-40.9342,39.23,-299.2731
A16,-36.9005,50.79,-298.0608
A23,-30.7446,59.442,-297.202
A24,-18.4711,59.652,-298.1116
A25,-6.192,59.752,-298.5361
A26,6.1953,59.784,-298.697
A27,18.4684,59.644,-298.0673
A28,30.7405,59.434,-297.1617
B22,42.9263,59.084,-295.6249
B23,47.0256,47.602,-297.1646
B24,51.0181,35.996,-298.0739
B25,54.9288,24.361,-298.6198
B26,58.7389,12.575,-298.5293
B27,62.4579,0.867,-298.1954
B28,65.9604,-10.859,-296.8759
C22,69.7276,-22.655,-296.7803
C23,59.7997,-30.011,-297.1417
C24,50.0059,-37.402,-298.1108
C25,40.151,-44.723,-298.69
C26,30.1111,-51.978,-298.5317
C27,20.1216,-59.123,-298.1474
C28,10.0644,-66.15,-297.1585
D22,0,-73.036,-295.6513
D23,-10.0662,-66.162,-297.2114
D24,-20.1212,-59.122,-298.1419
D25,-30.1109,-51.977,-298.5298
D26,-40.1508,-44.723,-298.6883
D27,-50.0061,-37.403,-298.1122
D28,-59.8012,-30.012,-297.1494
E22,-69.4866,-22.577,-295.7542
E23,-66.0165,-10.868,-297.1284
E24,-62.4404,0.867,-298.1123
E25,-58.7689,12.582,-298.6814
E26,-54.9119,24.353,-298.5279
E27,-51.0363,36.009,-298.1804
E28,-47.0258,47.603,-297.1655
A22,-42.9449,59.109,-295.7532
A30,-36.7472,67.697,-294.557
A31,-24.5409,68,-295.8765
A32,-12.2766,68.145,-296.5064
A33,0,68.231,-296.8799
A34,12.2768,68.146,-296.5126
A35,24.546,68.014,-295.9375
A36,36.7453,67.693,-294.5416
B29,48.928,67.344,-293.0214
B30,53.0335,55.875,-294.5891
B31,57.0727,44.342,-295.7972
B32,61.0236,32.738,-296.5453
B33,64.8885,21.084,-296.8691
B34,68.6215,9.385,-296.5864
B35,72.5231,-2.335,-296.9738
B36,76.3621,-14.145,-296.9817
C29,80.0408,-26.007,-296.2552
C30,69.8521,-33.326,-295.9639
C31,59.8408,-40.6,-295.9633
C32,49.987,-47.914,-296.5104
C33,40.1047,-55.199,-296.8797
C34,30.1223,-62.345,-296.5061
C35,20.112,-69.426,-295.829
C36,10.0628,-76.374,-294.5856
D29,0,-83.236,-293.0038
D30,-10.0613,-76.362,-294.5403
D31,-20.1181,-69.447,-295.9191
D32,-30.1351,-62.372,-296.6314
D33,-40.0947,-55.185,-296.8058
D34,-50.0008,-47.927,-296.5927
D35,-59.8304,-40.593,-295.9121
D36,-69.5197,-33.167,-294.5554
E29,-79.1762,-25.726,-293.0552
E30,-75.7348,-14.028,-294.5418
E31,-72.266,-2.326,-295.9208
E32,-68.6271,9.386,-296.6107
E33,-64.8747,21.079,-296.8057
E34,-61.046,32.75,-296.654
E35,-57.0934,44.358,-295.9046
E36,-53.025,55.866,-294.5419
A29,-48.9362,67.355,-293.0706
A38,-42.9314,76.343,-291.6141
A39,-30.7432,76.691,-293.1202
A40,-18.474,76.911,-294.0777
A41,-6.1966,77.009,-294.51
A42,6.1984,77.03,-294.5918
A43,18.4736,76.909,-294.071
A44,30.7363,76.674,-293.054
A45,42.9234,76.329,-291.5598
B37,54.8211,75.455,-289.7792
B38,59.3254,64.407,-291.5449
B39,63.4415,52.942,-293.1412
B40,67.4544,41.347,-294.1513
B41,71.2845,29.674,-294.3452
B42,75.6496,18.022,-296.4516
B43,79.5422,6.252,-296.6404
B44,83.3722,-5.602,-296.4447
B45,87.3494,-17.535,-296.6293
C37,89.8382,-29.19,-293.4898
C38,80.1971,-36.799,-293.7824
C39,69.9788,-43.992,-293.2435
C40,60.1466,-51.358,-294.0483
C41,50.3026,-58.687,-294.6571
C42,40.2487,-65.938,-294.4918
C43,30.2655,-73.09,-294.1198
C44,20.2077,-80.122,-293.1478
C45,10.1448,-87.031,-291.7296
D37,0,-93.279,-289.8198
D38,-10.1453,-87.035,-291.744
D39,-20.2054,-80.113,-293.1143
D40,-30.2562,-73.068,-294.0298
D41,-40.2617,-65.96,-294.5867
D42,-50.2771,-58.658,-294.5077
D43,-60.153,-51.363,-294.0795
D44,-69.9507,-43.974,-293.1257
D45,-79.5979,-36.524,-291.5871
E37,-88.7629,-28.84,-289.977
E38,-85.9089,-17.246,-291.7374
E39,-82.4348,-5.54,-293.1114
E40,-78.8451,6.197,-294.0404
E41,-75.1615,17.905,-294.539
E42,-71.3322,29.694,-294.5421
E43,-67.4354,41.335,-294.0683
E44,-63.4316,52.933,-293.0954
E45,-59.3244,64.406,-291.54
A37,-54.841,75.483,-289.8845
A47,-48.8208,84.447,-288.3409
A48,-36.9135,85.302,-290.0573
A49,-24.6747,85.607,-291.3035
A50,-12.3833,85.706,-291.8543
A51,0,85.848,-292.3351
A52,12.3833,85.706,-291.8545
A53,24.6712,85.595,-291.2626
A54,36.9118,85.298,-290.0443
A55,48.8286,84.46,-288.3866
B46,60.6649,83.499,-286.3074
B47,65.2844,72.592,-288.5971
B48,69.695,61.445,-289.9549
B49,73.8485,49.96,-291.5307
B50,77.9693,38.403,-292.9247
B51,82.1844,26.703,-294.2655
B52,86.5602,14.919,-296.0352
B53,90.4012,3.033,-295.7541
B54,94.167,-8.902,-295.1783
B55,96.7719,-20.628,-292.4892
C46,99.8059,-32.429,-291.1146
C47,89.4597,-39.767,-289.3978
C48,80.0167,-47.321,-290.1085
C49,70.2512,-54.73,-291.1837
C50,60.4281,-62.092,-292.0148
C51,50.4388,-69.422,-292.2149
C52,40.3842,-76.665,-292.0419
C53,30.3453,-83.732,-291.2052
C54,20.2769,-90.714,-290.0809
C55,10.1457,-97.076,-288.525
D46,0,-103.308,-286.5841
D47,-10.1431,-97.051,-288.452
D48,-20.2724,-90.694,-290.016
D49,-30.3457,-83.733,-291.2092
D50,-40.3738,-76.645,-291.9662
D51,-50.4384,-69.422,-292.2123
D52,-60.4211,-62.085,-291.9807
D53,-70.2519,-54.731,-291.1868
D54,-79.9873,-47.303,-290.0018
D55,-89.134,-39.622,-288.3442
E46,-98.1673,-31.896,-286.3352
E47,-95.4303,-20.342,-288.4344
E48,-92.5143,-8.745,-289.9978
E49,-89.0356,2.987,-291.2866
E50,-85.3583,14.712,-291.9248
E51,-81.6225,26.521,-292.2536
E52,-77.7033,38.272,-291.9256
E53,-73.7699,49.907,-291.2202
E54,-69.6933,61.443,-289.948
E55,-65.2586,72.563,-288.4832
A46,-60.7307,83.589,-286.6179
A57,-54.6813,92.525,-284.8835
A58,-42.7646,93.364,-286.5558
A59,-30.8208,94.086,-287.9084
A60,-18.5561,94.309,-288.8781
A61,-6.1979,94.502,-289.4229
A62,6.1947,94.464,-289.3047
A63,18.5641,94.353,-289.0129
A64,30.8115,94.059,-287.8268
A65,42.7732,93.385,-286.6182
A66,54.6901,92.541,-284.9325
B56,66.4461,91.456,-282.55
B57,71.0932,80.59,-284.8616
B58,75.5903,69.533,-286.5964
B59,79.9441,58.377,-287.8642
B60,83.9752,46.8,-288.936
B61,88.4097,35.277,-290.8977
B62,92.6306,23.522,-292.0675
B63,96.6676,11.646,-292.6351
B64,100.4859,-0.241,-292.2165
B65,103.8265,-12.03,-291.6601
B66,107.1026,-23.906,-290.8836
C56,109.9364,-35.72,-288.9212
C57,100.0103,-43.314,-288.892
C58,90.0686,-50.731,-288.4563
C59,80.284,-58.035,-288.0793
C60,70.44,-65.385,-288.8571
C61,60.5588,-72.808,-289.4131
C62,50.5177,-80.072,-289.3364
C63,40.4489,-87.263,-289.078
C64,30.3736,-94.251,-287.9664
C65,20.2831,-100.681,-286.5877
C66,10.1466,-106.996,-284.8881
D56,0,-113.118,-282.7342
D57,-10.1522,-107.055,-285.0453
D58,-20.2798,-100.664,-286.5404
D59,-30.3686,-94.235,-287.919
D60,-40.4481,-87.262,-289.0725
D61,-50.512,-80.063,-289.3033
D62,-60.5852,-72.839,-289.5391
D63,-70.4411,-65.386,-288.8618
D64,-80.2272,-57.994,-287.8754
D65,-89.4876,-50.403,-286.5957
D66,-98.645,-42.722,-284.9481
E56,-107.5914,-34.958,-282.7584
E57,-104.8509,-23.404,-284.7679
E58,-102.0369,-11.823,-286.6328
E59,-99.0278,-0.238,-287.976
E60,-95.4117,11.494,-288.8331
E61,-91.7908,23.308,-289.4194
E62,-87.9349,35.087,-289.3354
E63,-83.953,46.788,-288.8596
E64,-79.9906,58.411,-288.0318
E65,-75.5808,69.524,-286.5606
E66,-71.0669,80.561,-284.7564
A56,-66.4448,91.454,-282.5444
A68,-60.4528,100.474,-281.0612
A69,-48.5836,101.361,-282.8696
A70,-36.6847,102.183,-284.4974
A71,-24.6973,102.757,-285.4356
A72,-12.3633,103.05,-286.2476
A73,0,103.116,-286.4314
A74,12.3598,103.02,-286.1652
A75,24.7154,102.832,-285.6448
A76,36.665,102.128,-284.3449
A77,48.5799,101.353,-282.8477
A78,60.4602,100.487,-281.0958
B67,72.202,99.378,-278.6663
B68,76.8282,88.488,-280.8883
B69,81.4412,77.581,-283.0596
B70,85.786,66.42,-284.3013
B71,90.1551,55.279,-285.6243
B72,94.5726,43.782,-287.4258
B73,98.8308,32.113,-288.6583
B74,102.9473,20.307,-289.3999
B75,106.8423,8.382,-289.4534
B76,110.6576,-3.378,-290.108
B77,114.1747,-15.252,-289.882
B78,116.8387,-27.048,-287.4615
C67,119.6087,-38.863,-285.3057
C68,109.7827,-46.522,-285.7946
C69,100.2761,-54.198,-286.8542
C70,90.0732,-61.331,-285.5541
C71,80.4252,-68.654,-285.5982
C72,70.5719,-76.1,-286.2437
C73,60.6089,-83.421,-286.4282
C74,50.5832,-90.661,-286.3309
C75,40.4206,-97.654,-285.4519
C76,30.3683,-104.18,-284.3607
C77,20.2724,-110.554,-282.8565
C78,10.1433,-116.743,-280.8804
D67,0,-122.753,-278.4761
D68,-10.146,-116.774,-280.9551
D69,-20.809,-113.48,-286.2218
D70,-30.3691,-104.183,-284.368
D71,-40.4307,-97.678,-285.523
D72,-50.5698,-90.637,-286.255
D73,-60.6163,-83.431,-286.4632
D74,-70.5608,-76.088,-286.1985
D75,-80.433,-68.661,-285.626
D76,-89.7414,-61.105,-284.5021
D77,-98.9037,-53.456,-282.9281
D78,-107.8957,-45.722,-280.8825
E67,-116.7617,-37.938,-278.5146
E68,-114.2375,-26.446,-281.0617
E69,-111.4008,-14.881,-282.8391
E70,-108.4935,-3.312,-284.4345
E71,-105.3818,8.267,-285.4966
E72,-101.809,20.083,-286.1999
E73,-98.0692,31.865,-286.434
E74,-94.1965,43.608,-286.2826
E75,-90.088,55.238,-285.4118
E76,-85.8251,66.45,-284.4309
E77,-81.4578,77.596,-283.1176
E78,-76.8415,88.504,-280.9371
A67,-72.178,99.345,-278.5739
A80,-66.1586,108.346,-276.6942
A81,-54.3648,109.377,-278.9012
A82,-42.4743,110.283,-280.7541
A83,-30.5191,111,-282.0839
A84,-18.5593,111.374,-282.8059
A85,-6.1999,111.595,-283.4086
A86,6.1961,111.528,-283.2374
A87,18.56,111.378,-282.8169
A88,30.5176,110.994,-282.0701
A89,42.4673,110.265,-280.708
A90,54.3601,109.367,-278.8772
A91,66.1541,108.339,-276.6756
B79,77.837,107.134,-274.2938
B80,82.5501,96.345,-276.5308
B81,87.2081,85.488,-278.8523
B82,91.6712,74.403,-280.4834
B83,96.0517,63.272,-281.8381
B84,100.6083,52.287,-283.9942
B85,104.6796,40.56,-284.6663
B86,109.0598,28.856,-286.0605
B87,113.2967,17.012,-286.9578
B88,116.959,5.365,-286.8956
B89,121.3368,-6.494,-288.6684
B90,124.9714,-18.519,-288.4779
B91,127.2973,-30.347,-285.2315
C79,129.8662,-42.196,-282.8383
C80,120.1769,-50.002,-283.7042
C81,109.8949,-57.379,-283.0822
C82,99.6611,-64.563,-282.102
C83,89.9258,-71.854,-282.0579
C84,80.4782,-79.194,-282.8051
C85,70.5701,-86.589,-283.2503
C86,60.5491,-93.881,-283.2735
C87,50.4193,-100.952,-282.6397
C88,40.5126,-107.631,-281.8015
C89,30.4494,-114.146,-280.6559
C90,20.2957,-120.37,-278.735
C91,10.158,-126.507,-276.622
D79,0,-132.297,-274.0303
D80,-10.1552,-126.472,-276.5449
D81,-20.3149,-120.484,-278.9993
D82,-30.4501,-114.149,-280.6632
D83,-40.5087,-107.62,-281.7739
D84,-50.4618,-101.037,-282.878
D85,-60.5243,-93.843,-283.1575
D86,-70.5789,-86.6,-283.2854
D87,-80.4769,-79.192,-282.8007
D88,-89.8297,-71.777,-281.7563
D89,-99.101,-64.2,-280.5166
D90,-108.2014,-56.496,-278.7234
D91,-117.1821,-48.756,-276.6344
E79,-125.8692,-40.897,-274.1332
E80,-123.4182,-29.423,-276.5397
E81,-120.8279,-17.905,-278.9133
E82,-117.9119,-6.31,-280.5202
E83,-114.9114,5.271,-281.873
E84,-111.5925,16.756,-282.6413
E85,-108.0005,28.576,-283.2819
E86,-104.1193,40.343,-283.1426
E87,-100.1976,52.073,-282.8352
E88,-96.052,63.272,-281.839
E89,-91.668,74.4,-280.4736
E90,-87.1681,85.449,-278.7245
E91,-82.5845,96.385,-276.6461
A79,-77.8255,107.118,-274.2533
A93,-71.7189,115.995,-272.0468
A94,-60.0216,117.144,-274.3091
A95,-48.2123,118.206,-276.5156
A96,-36.2306,118.846,-277.7348
A97,-24.3361,119.435,-278.9694
A98,-12.3892,119.83,-279.7533
A99,0,119.836,-279.7633
A100,12.3898,119.836,-279.7666
A101,24.3275,119.393,-278.87
A102,36.2457,118.895,-277.8503
A103,48.1957,118.165,-276.4208
A104,60.0274,117.155,-274.3354
A105,71.7421,116.033,-272.1349
B92,83.2853,114.633,-269.2832
B93,88.1228,104.015,-271.9467
B94,92.8732,93.295,-274.3414
B95,97.5462,82.401,-276.5854
B96,102.3095,71.516,-279.0346
B97,106.3445,60.209,-279.6949
B98,111.0891,49.235,-282.1714
B99,115.022,37.374,-282.3468
B100,119.2004,25.548,-283.0934
B101,123.44,14.028,-284.3384
B102,127.6349,2.33,-285.3591
B103,131.4683,-9.628,-285.5285
B104,134.5631,-21.625,-284.0303
B105,137.2008,-33.517,-281.7411
C92,139.0941,-45.194,-277.9468
C93,129.7029,-53.12,-279.5941
C94,119.9607,-60.782,-280.26
C95,109.5311,-67.941,-279.1847
C96,99.4243,-75.046,-278.456
C97,89.9311,-82.357,-279.0967
C98,80.3735,-89.569,-279.4605
C99,70.4747,-96.999,-279.9129
C100,60.3675,-104.151,-279.5498
C101,50.4882,-110.873,-278.8296
C102,40.5825,-117.554,-277.9955
C103,30.4713,-123.953,-276.4829
C104,20.3153,-130.17,-274.562
C105,10.1594,-136.013,-272.0785
D92,0,-141.664,-269.2288
D93,-10.1638,-136.073,-272.1984
D94,-20.2979,-130.059,-274.3264
D95,-30.48,-123.989,-276.5624
D96,-40.5472,-117.452,-277.754
D97,-50.541,-110.989,-279.1217
D98,-60.3567,-104.132,-279.4995
D99,-70.4668,-96.988,-279.8813
D100,-80.4445,-89.648,-279.7074
D101,-89.8445,-82.278,-278.8279
D102,-99.2407,-74.907,-277.9416
D103,-108.4632,-67.278,-276.4629
D104,-117.4732,-59.521,-274.4484
D105,-126.1844,-51.679,-272.0094
E92,-134.7445,-43.781,-269.2552
E93,-132.5676,-32.385,-272.2268
E94,-129.9546,-20.884,-274.3029
E95,-127.3286,-9.325,-276.5378
E96,-124.2286,2.268,-277.7435
E97,-121.1335,13.766,-279.0256
E98,-117.7223,25.232,-279.5832
E99,-113.9823,37.036,-279.7947
E100,-110.1354,48.812,-279.749
E101,-106.0198,60.025,-278.841
E102,-101.891,71.224,-277.8932
E103,-97.4957,82.359,-276.4422
E104,-92.8846,93.306,-274.3753
E105,-88.1388,104.034,-271.9963
A92,-83.3719,114.752,-269.5632
A107,-77.216,123.568,-267.1574
A108,-65.5496,124.774,-269.5664
A109,-53.8785,125.931,-271.8984
A110,-41.9458,126.718,-273.4711
A111,-30.0667,127.313,-274.6578
A112,-18.1512,127.868,-275.7894
A113,-6.1938,128.007,-276.057
A114,6.1945,128.02,-276.0858
A115,18.1534,127.884,-275.8237
A116,30.0686,127.321,-274.6757
A117,41.9683,126.786,-273.6178
A118,53.8592,125.886,-271.8009
A119,65.5579,124.79,-269.6004
A120,77.292,123.691,-267.4234
B106,88.6769,122.054,-264.1202
B107,93.6179,111.574,-267.043
B108,98.4929,100.983,-269.791
B109,103.3651,90.373,-272.5508
B110,108.1553,79.493,-275.0024
B111,113.098,68.732,-277.8701
B112,117.6721,57.595,-279.7646
B113,121.7199,46.165,-280.4165
B114,125.8327,34.259,-280.9173
B115,130.2094,22.774,-282.2739
B116,134.0821,11.053,-282.4722
B117,137.6453,-0.758,-282.0116
B118,141.3374,-12.771,-281.7067
B119,144.455,-24.731,-280.3011
B120,146.486,-36.526,-276.8059
C106,148.2728,-48.176,-272.9384
C107,138.8274,-56.087,-274.5286
C108,129.3172,-63.869,-275.8513
C109,119.4525,-71.311,-276.1609
C110,109.2222,-78.439,-275.5017
C111,99.2184,-85.377,-274.8277
C112,89.7974,-92.73,-275.6488
C113,80.2674,-99.938,-276.1122
C114,70.2466,-107.226,-276.1238
C115,60.4645,-114.098,-275.7464
C116,50.5518,-120.774,-274.8951
C117,40.5378,-127.14,-273.406
C118,30.4094,-133.452,-271.7007
C119,20.3194,-139.542,-269.7
C120,10.1669,-145.429,-267.2951
D106,0,-151.021,-264.3911
D107,-10.1587,-145.311,-267.0798
D108,-20.337,-139.663,-269.933
D109,-30.4094,-133.452,-271.7007
D110,-40.5871,-127.295,-273.7387
D111,-50.5221,-120.704,-274.7339
D112,-60.4422,-114.056,-275.6443
D113,-70.2395,-107.215,-276.0958
D114,-80.2633,-99.933,-276.0982
D115,-89.8576,-92.793,-275.8337
D116,-99.2146,-85.374,-274.8174
D117,-108.3927,-77.843,-273.4094
D118,-117.5806,-70.193,-271.8332
D119,-126.4993,-62.478,-269.8404
D120,-135.0925,-54.578,-267.1428
E106,-143.4688,-46.615,-264.0953
E107,-141.4245,-35.264,-267.2413
E108,-138.9501,-23.788,-269.6195
E109,-136.3267,-12.318,-271.7195
E110,-133.5467,-0.735,-273.6141
E111,-130.3818,10.747,-274.6767
E112,-127.183,22.245,-275.7133
E113,-123.6648,33.668,-276.0776
E114,-119.8401,45.452,-276.0859
E115,-116.0316,56.792,-275.8644
E116,-111.8195,67.955,-274.7289
E117,-107.5539,79.051,-273.4734
E118,-103.1673,90.2,-272.0293
E119,-98.4162,100.905,-269.5809
E120,-93.6221,111.579,-267.0553
A106,-88.8095,122.236,-264.515
A122,-82.5749,130.94,-261.8781
A123,-71.0021,132.261,-264.5222
A124,-59.3743,133.491,-266.9819
A125,-47.6087,134.429,-268.8557
A126,-35.756,135.104,-270.2073
A127,-23.8809,135.701,-271.4008
A128,-11.9497,136.016,-272.0318
A129,0,136.055,-272.1094
A130,11.9552,136.078,-272.1561
A131,23.8754,135.67,-271.3387
A132,36.1385,136.549,-270.3646
A133,47.6357,134.505,-269.0079
A134,59.3413,133.417,-266.8337
A135,71.065,132.379,-264.7567
A136,82.5879,130.96,-261.9193
B121,93.9784,129.35,-258.7002
B122,99.1197,119.124,-262.1592
B123,104.0066,108.565,-264.929
B124,109.0657,98.13,-268.1027
B125,114.301,87.713,-271.6228
B126,119.0894,76.818,-273.9977
B127,123.2594,65.486,-274.9256
B128,128.1724,54.461,-277.4571
B129,132.0666,42.911,-277.726
B130,135.9845,31.343,-278.0284
B131,140.007,19.725,-278.4996
B132,144.0182,7.992,-278.8782
B133,147.448,-3.866,-278.0733
B134,150.8894,-15.802,-277.2424
B135,153.5713,-27.71,-274.984
B136,155.7812,-39.525,-271.8853
C121,156.8892,-50.976,-266.9158
C122,147.7322,-58.978,-269.098
C123,138.5004,-66.869,-271.0137
C124,128.83,-74.444,-271.9019
C125,118.6416,-81.533,-271.3961
C126,108.4722,-88.392,-270.5392
C127,99.0953,-95.759,-271.4352
C128,89.5883,-102.984,-271.9487
C129,80.0726,-110.21,-272.4552
C130,70.2714,-117.047,-271.9961
C131,60.4168,-123.767,-271.2849
C132,50.5266,-130.426,-270.4312
C133,40.5105,-136.779,-268.9361
C134,30.426,-142.88,-266.9545
C135,20.2984,-148.729,-264.5108
C136,10.1577,-154.441,-261.8318
D121,0,-159.941,-258.7898
D122,-10.162,-154.506,-261.9421
D123,-20.3021,-148.756,-264.5604
D124,-30.4462,-142.975,-267.1313
D125,-40.4787,-136.671,-268.7252
D126,-50.5491,-130.484,-270.552
D127,-60.4155,-123.765,-271.2789
D128,-70.2817,-117.065,-272.0362
D129,-80.0151,-110.131,-272.2595
D130,-89.5807,-102.975,-271.9257
D131,-99.0886,-95.752,-271.4168
D132,-108.4137,-88.345,-270.3933
D133,-117.4724,-80.73,-268.7216
D134,-126.4425,-73.064,-266.8631
D135,-135.3473,-65.346,-264.8437
D136,-143.8235,-57.417,-261.9783
E121,-152.0728,-49.411,-258.7217
E122,-150.0638,-38.075,-261.9066
E123,-147.8623,-26.68,-264.7614
E124,-145.2312,-15.209,-266.8461
E125,-142.6147,-3.74,-268.9581
E126,-139.5909,7.746,-270.305
E127,-136.3658,19.212,-271.2565
E128,-133.1622,30.692,-272.2581
E129,-129.4109,42.048,-272.1414
E130,-125.635,53.383,-271.9644
E131,-121.7572,64.688,-271.5748
E132,-117.4451,75.758,-270.2145
E133,-113.1223,86.808,-268.8218
E134,-108.6976,97.799,-267.1978
E135,-103.8469,108.398,-264.5222
E136,-99.0186,119.003,-261.8921
A121,-94.1264,129.554,-259.1077
A138,-88.8562,139.585,-255.283
A139,-77.3301,140.996,-258.1109
A140,-65.7596,142.413,-260.9145
A141,-54.0162,143.425,-262.9444
A142,-42.0326,144.187,-264.4654
A143,-30.179,144.878,-265.8385
A144,-18.2479,145.426,-266.912
A145,-6.2861,145.48,-267.0448
A146,6.2891,145.55,-267.1745
A147,18.2416,145.375,-266.8195
A148,30.1686,144.828,-265.7476
A149,42.0856,144.368,-264.7985
A150,53.9876,143.349,-262.8049
A151,65.7193,142.326,-260.7546
A152,77.4282,141.175,-258.4385
A153,88.8198,139.528,-255.1783
B137,99.2024,136.541,-253.0665
B138,105.3946,127.762,-255.524
B139,110.6713,117.618,-259.2185
B140,116.0552,107.413,-263.0295
B141,121.0525,96.764,-265.8849
B142,126.5225,86.154,-269.5413
B143,131.3984,75.152,-271.9175
B144,135.8336,63.78,-273.2784
B145,139.6595,52.146,-273.3932
B146,143.884,39.973,-273.8635
B147,148.0183,28.365,-274.4609
B148,151.5295,16.55,-273.8202
B149,155.6342,4.75,-274.1843
B150,159.3272,-7.338,-273.6437
B151,162.2949,-19.31,-271.8547
B152,164.2294,-31.158,-268.3025
B153,166.1139,-42.897,-264.6882
C137,165.7324,-53.85,-261.2957
C138,158.1554,-62.363,-262.2867
C139,148.654,-70.132,-263.8211
C140,139.5113,-78.017,-265.874
C141,130.0265,-85.615,-267.1002
C142,120.2269,-93.081,-267.7426
C143,110.579,-100.383,-268.2812
C144,100.2699,-106.955,-266.9861
C145,90.6293,-114.041,-267.1424
C146,80.4549,-121.435,-267.1439
C147,70.7415,-128.423,-267.0074
C148,60.7512,-134.968,-265.881
C149,50.7483,-141.363,-264.4817
C150,40.6006,-147.773,-262.927
C151,30.5191,-153.925,-261.0124
C152,20.3314,-159.659,-258.3343
C153,10.1655,-165.247,-255.4257
D137,0,-168.862,-253.2012
D138,-10.1589,-165.14,-255.2601
D139,-20.3217,-159.582,-258.2111
D140,-30.4884,-153.769,-260.7492
D141,-40.6077,-147.799,-262.9728
D142,-50.7476,-141.361,-264.478
D143,-60.786,-135.045,-266.0332
D144,-70.6584,-128.272,-266.6938
D145,-80.4493,-121.427,-267.1252
D146,-90.7039,-114.135,-267.3624
D147,-100.1414,-106.818,-266.644
D148,-109.556,-99.455,-265.7992
D149,-118.9235,-92.072,-264.84
D150,-127.9632,-84.257,-262.8618
D151,-136.7663,-76.482,-260.6426
D152,-145.5163,-68.652,-258.2525
